id,language,variant,domain,subdomain,task_type,customer_intent,customer_tone,agent_tone,channel,difficulty,instruction,input,output,meta_requires_escalation,meta_contains_pii,meta_synthetic,meta_source_type,intent_classification
lusosupport_pt_000000,pt,pt-PT,travel,placeholder,intent_classification,booking_cancellation,frustrated,reassuring,email,hard,Classifica a intenção do cliente.,Mensagem do cliente: Quero cancelar a minha reserva e saber se tenho direito a reembolso.,"{""intent"": ""booking_cancellation"", ""urgency"": ""medium"", ""domain"": ""travel"", ""confidence"": 0.98}",False,False,True,template_generated,
lusosupport_pt_000001,pt,pt-PT,subscriptions,placeholder,email_reply,duplicate_charge,frustrated,professional,phone_transcript,medium,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Foi cobrado o mesmo valor duas vezes.,"Caro/a cliente,

Acusamos a recepção da sua comunicação sobre a cobrança em duplicado.

Estamos a verificar os registos de pagamento com urgência. Assim que confirmarmos a duplicação, o reembolso será processado de imediato. Agradecemos a sua paciência.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000002,pt,pt-PT,subscriptions,placeholder,intent_classification,escalation_request,frustrated,empathetic,web_form,easy,Classifica a intenção do cliente.,Mensagem do cliente: Já contactei o suporte várias vezes sem resultado — exijo ser atendido por alguém com autoridade.,"{""intent"": ""escalation_request"", ""urgency"": ""high"", ""domain"": ""subscriptions"", ""confidence"": 0.89}",False,False,True,template_generated,
lusosupport_pt_000003,pt,pt-PT,ecommerce,placeholder,intent_classification,order_status,informal,formal,web_form,hard,Classifica a intenção do cliente.,Mensagem do cliente: Quando é que a minha encomenda vai ser entregue?,"{""intent"": ""order_status"", ""urgency"": ""low"", ""domain"": ""ecommerce"", ""confidence"": 0.91}",False,False,True,template_generated,
lusosupport_pt_000004,pt,pt-PT,saas,placeholder,email_reply,payment_failure,informal,concise,phone_transcript,hard,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Recebi uma notificação de falha no pagamento — como posso resolver?,"Caro/a cliente,

O seu pagamento não foi concluído com sucesso.

Pode tentar novamente com um cartão diferente ou através de transferência bancária para o NIB [número]. Caso necessite de assistência, estamos disponíveis por telefone.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000005,pt,pt-PT,marketplace,placeholder,urgency_classification,return_request,formal,reassuring,web_form,medium,Classifica a urgência do pedido.,Mensagem do cliente: O artigo veio errado e preciso de o devolver.,"{""urgency"": ""low"", ""reason"": ""A devolução pode ser processada dentro do prazo habitual."", ""escalate"": false}",False,False,True,template_generated,
lusosupport_pt_000006,pt,pt-PT,utilities,placeholder,faq_answer,payment_failure,frustrated,reassuring,chat,hard,Responde à pergunta do cliente.,Mensagem do cliente: Recebi uma notificação de falha no pagamento — como posso resolver?,"Pagamentos recusados podem ocorrer por: dados incorrectos do cartão, limite insuficiente, ou recusa do banco emissor. Verifique os dados do cartão e tente novamente. Se persistir, contacte o seu banco ou utilize outro método de pagamento.",False,False,True,template_generated,
lusosupport_pt_000007,pt,pt-PT,billing_accounts,placeholder,summarization,duplicate_charge,calm,concise,email,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Foi cobrado o mesmo valor duas vezes.,O cliente detectou uma cobrança duplicada na sua fatura e solicita o reembolso do valor cobrado em excesso.,False,False,True,template_generated,
lusosupport_pt_000008,pt,pt-PT,subscriptions,placeholder,email_reply,order_status,informal,reassuring,chat,hard,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Quando é que a minha encomenda vai ser entregue?,"Caro/a cliente,

Em resposta ao seu pedido de informação, a sua encomenda foi despachada e encontra-se com o transportador. O prazo de entrega estimado é de 2 a 3 dias úteis.

Caso não receba a encomenda nesse prazo, não hesite em contactar-nos.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000009,pt,pt-PT,travel,placeholder,response_generation,booking_change,confused,reassuring,email,hard,"Responde ao cliente em português de Portugal, com tom reassuring.",Mensagem do cliente: Houve uma mudança de planos e preciso de modificar os detalhes da reserva.,"Agradecemos o pedido de alteração. Para avançar, pode confirmar o número de reserva e descrever a alteração pretendida? Se a nova data implicar custos adicionais, informaremos previamente antes de qualquer cobrança.",False,False,True,template_generated,
lusosupport_pt_000010,pt,pt-PT,subscriptions,placeholder,summarization,order_status,confused,professional,email,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Não recebi nenhuma actualização sobre o meu pedido desde que o realizei.,O cliente pede confirmação do estado de expedição e do prazo de entrega estimado.,False,False,True,template_generated,
lusosupport_pt_000011,pt,pt-PT,saas,placeholder,next_action_suggestion,refund_request,informal,professional,web_form,easy,Indica os próximos passos.,Mensagem do cliente: O serviço que contratei não foi prestado e exijo o reembolso.,"1. Pedir ao cliente fotografias do artigo com defeito.
2. Registar a ocorrência no sistema de reclamações.
3. Aprovar o pedido de reembolso após verificação.
4. Notificar o cliente por e-mail sobre o prazo de reembolso.",False,False,True,template_generated,
lusosupport_pt_000012,pt,pt-PT,marketplace,placeholder,next_action_suggestion,password_reset,urgent,formal,phone_transcript,hard,Indica os próximos passos.,Mensagem do cliente: O e-mail de recuperação não chega à minha caixa de entrada.,"1. Confirmar o endereço de e-mail associado à conta.
2. Acionar o processo de recuperação de palavra-passe.
3. Confirmar que o cliente recebeu o e-mail.
4. Acompanhar até ao acesso bem-sucedido.",False,False,True,template_generated,
lusosupport_pt_000013,pt,pt-PT,telecom,placeholder,urgency_classification,duplicate_charge,formal,formal,web_form,hard,Classifica a urgência do pedido.,Mensagem do cliente: Tenho uma cobrança repetida na fatura deste mês.,"{""urgency"": ""high"", ""reason"": ""A cobrança duplicada constitui impacto financeiro directo e requer resolução urgente."", ""escalate"": true}",False,False,True,template_generated,
lusosupport_pt_000014,pt,pt-PT,utilities,placeholder,faq_answer,cancel_subscription,calm,formal,chat,medium,Responde à pergunta do cliente.,Mensagem do cliente: Não necessito mais do serviço e quero proceder ao cancelamento.,"Para cancelar a subscrição, aceda a 'Definições de Conta' e seleccione 'Cancelar Subscrição'. O cancelamento é efectuado no final do período de faturação em curso, mantendo o acesso até essa data.",False,False,True,template_generated,
lusosupport_pt_000016,pt,pt-PT,telecom,placeholder,summarization,duplicate_charge,formal,empathetic,web_form,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Verifiquei que fui debitado em duplicado e quero que o valor seja devolvido.,O cliente reporta uma cobrança repetida e pede verificação urgente dos registos de pagamento.,False,False,True,template_generated,
lusosupport_pt_000017,pt,pt-PT,billing_accounts,placeholder,rewrite_professional,billing_question,formal,empathetic,web_form,medium,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Tenho uma dúvida relativamente ao valor cobrado na minha fatura.,Solicito esclarecimento sobre o montante faturado no período de [data]. O valor apresentado não está de acordo com o contratado. Aguardo confirmação dos detalhes.,False,False,True,template_generated,
lusosupport_pt_000018,pt,pt-PT,subscriptions,placeholder,intent_classification,delivery_delay,urgent,professional,email,hard,Classifica a intenção do cliente.,Mensagem do cliente: A minha encomenda está em atraso — qual é a causa?,"{""intent"": ""delivery_delay"", ""urgency"": ""medium"", ""domain"": ""subscriptions"", ""confidence"": 0.98}",False,False,True,template_generated,
lusosupport_pt_000019,pt,pt-PT,telecom,placeholder,summarization,cancel_subscription,formal,professional,email,medium,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Pretendo cancelar a minha subscrição.,O cliente solicita o cancelamento da subscrição com efeitos imediatos ou no final do período de faturação.,False,False,True,template_generated,
lusosupport_pt_000020,pt,pt-PT,travel,placeholder,urgency_classification,booking_change,urgent,empathetic,email,medium,Classifica a urgência do pedido.,Mensagem do cliente: Gostaria de mudar o destino ou o horário da minha viagem.,"{""urgency"": ""medium"", ""reason"": ""O pedido de modificação pode implicar custos adicionais se não for tratado atempadamente."", ""escalate"": false}",False,False,True,template_generated,
lusosupport_pt_000021,pt,pt-PT,utilities,placeholder,next_action_suggestion,cancel_subscription,frustrated,concise,chat,easy,Indica os próximos passos.,Mensagem do cliente: Quero encerrar a minha conta e deixar de ser cobrado.,"1. Informar o cliente sobre o que acontece após o cancelamento (acesso até ao fim do período).
2. Confirmar a intenção de cancelamento.
3. Processar o pedido no sistema.
4. Enviar e-mail de confirmação com resumo.",False,False,True,template_generated,
lusosupport_pt_000022,pt,pt-PT,marketplace,placeholder,urgency_classification,return_request,informal,professional,web_form,easy,Classifica a urgência do pedido.,Mensagem do cliente: Pretendo iniciar o processo de devolução da minha encomenda.,"{""urgency"": ""low"", ""reason"": ""A devolução pode ser processada dentro do prazo habitual."", ""escalate"": false}",False,False,True,template_generated,
lusosupport_pt_000023,pt,pt-PT,ecommerce,placeholder,faq_answer,damaged_item,frustrated,professional,email,hard,Responde à pergunta do cliente.,Mensagem do cliente: O produto chegou com defeito visível — quero uma solução.,"Em caso de artigo danificado, a substituição é efectuada sem custos adicionais. Para iniciar o processo, contacte o suporte com o número de encomenda e fotografias do estado do artigo.",False,False,True,template_generated,
lusosupport_pt_000024,pt,pt-PT,ecommerce,placeholder,rewrite_professional,order_status,informal,reassuring,phone_transcript,medium,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Queria saber qual é o estado da minha encomenda.,"Venho solicitar informação actualizada sobre o estado da encomenda n.º [número], efetuada em [data]. Agradeço que me confirmem o prazo previsto de entrega.",False,False,True,template_generated,
lusosupport_pt_000025,pt,pt-PT,subscriptions,placeholder,summarization,delivery_delay,calm,professional,phone_transcript,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Ainda não recebi o material que foi enviado há mais de duas semanas.,O cliente reporta que o envio não chegou dentro do prazo previsto e solicita uma explicação para o atraso.,False,False,True,template_generated,
lusosupport_pt_000026,pt,pt-PT,subscriptions,placeholder,summarization,cancel_subscription,calm,reassuring,web_form,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Desejo cancelar o plano com efeitos no final do período de faturação.,O cliente solicita o cancelamento da subscrição com efeitos imediatos ou no final do período de faturação.,False,False,True,template_generated,
lusosupport_pt_000027,pt,pt-PT,ecommerce,placeholder,faq_answer,order_status,urgent,reassuring,web_form,easy,Responde à pergunta do cliente.,Mensagem do cliente: Não recebi nenhuma actualização sobre o meu pedido desde que o realizei.,"O estado da encomenda está disponível na área de cliente em 'As Minhas Encomendas'. Após expedição, receberá um e-mail com o número de tracking para acompanhar a entrega.",False,False,True,template_generated,
lusosupport_pt_000028,pt,pt-PT,marketplace,placeholder,response_generation,password_reset,urgent,reassuring,email,hard,"Responde ao cliente em português de Portugal, com tom reassuring.",Mensagem do cliente: Esqueci-me da palavra-passe e preciso de aceder à conta com urgência.,"A reposição da palavra-passe é feita através do link que enviámos para o seu e-mail. Se não recebeu o e-mail, pode indicar-nos o endereço registado na conta para verificarmos a situação?",False,False,True,template_generated,
lusosupport_pt_000029,pt,pt-PT,travel,placeholder,email_reply,booking_cancellation,formal,concise,web_form,easy,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Precisei de cancelar a reserva — podem indicar-me o procedimento?,"Caro/a cliente,

Confirmamos o cancelamento da sua reserva conforme solicitado.

Lamentamos não o/a poder receber. O reembolso, quando aplicável, será processado para o meio de pagamento original em breve.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000030,pt,pt-PT,telecom,placeholder,email_reply,account_access,urgent,formal,phone_transcript,hard,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: A minha conta foi bloqueada e não sei porquê.,"Exmo(a). Sr(a).,

Agradecemos o contacto relativamente ao problema de acesso à conta.

Verificámos que a sua conta foi temporariamente bloqueada por motivos de segurança. Para proceder ao desbloqueio, é necessário verificar a sua identidade. Por favor responda a este e-mail com o número do documento de identificação.

Com os melhores cumprimentos,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000031,pt,pt-PT,ecommerce,placeholder,faq_answer,billing_question,urgent,concise,chat,medium,Responde à pergunta do cliente.,Mensagem do cliente: A fatura deste mês está mais elevada do que o habitual sem explicação.,"Todas as faturas estão disponíveis na área de cliente em 'Faturas e Pagamentos'. Caso identifique um erro numa cobrança, contacte o suporte com o número de fatura e o item em questão para verificação.",False,False,True,template_generated,
lusosupport_pt_000032,pt,pt-PT,saas,placeholder,faq_answer,account_access,formal,reassuring,phone_transcript,hard,Responde à pergunta do cliente.,Mensagem do cliente: Estou a tentar aceder ao portal mas continuo a receber erro de autenticação.,"Se não consegue aceder à conta, verifique: (1) se está a utilizar o e-mail correcto, (2) se a palavra-passe está correcta, (3) se a conta foi bloqueada por tentativas falhadas. Em caso de bloqueio, contacte o suporte.",False,False,True,template_generated,
lusosupport_pt_000033,pt,pt-PT,subscriptions,placeholder,response_generation,refund_request,frustrated,reassuring,phone_transcript,hard,"Responde ao cliente em português de Portugal, com tom reassuring.",Mensagem do cliente: O artigo chegou com defeito e quero ser reembolsado.,"Compreendemos a sua situação e estamos disponíveis para ajudar. Pode indicar-nos o número da encomenda em questão? Com essa informação, verificaremos o estado do pedido e processaremos o reembolso com a maior brevidade possível.",False,False,True,template_generated,
lusosupport_pt_000034,pt,pt-PT,ecommerce,placeholder,intent_classification,complaint,urgent,empathetic,chat,hard,Classifica a intenção do cliente.,Mensagem do cliente: Quero registar uma reclamação formal relativamente à minha experiência.,"{""intent"": ""complaint"", ""urgency"": ""high"", ""domain"": ""ecommerce"", ""confidence"": 0.95}",False,False,True,template_generated,
lusosupport_pt_000035,pt,pt-PT,subscriptions,placeholder,next_action_suggestion,cancel_subscription,confused,reassuring,web_form,hard,Indica os próximos passos.,Mensagem do cliente: Quero encerrar a minha conta e deixar de ser cobrado.,"1. Verificar o tipo de plano e as condições de cancelamento.
2. Confirmar a data de efectivação pretendida pelo cliente.
3. Processar o cancelamento no sistema.
4. Enviar confirmação por e-mail com a data de término.",False,False,True,template_generated,
lusosupport_pt_000036,pt,pt-PT,billing_accounts,placeholder,summarization,complaint,urgent,concise,email,easy,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Quero registar uma reclamação formal relativamente à minha experiência.,O cliente está insatisfeito com o serviço prestado e deseja registar uma reclamação formal.,False,False,True,template_generated,
lusosupport_pt_000038,pt,pt-PT,utilities,placeholder,rewrite_professional,duplicate_charge,formal,formal,web_form,medium,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Apareceram dois débitos iguais no meu extracto bancário.,Venho informar que foi efectuada uma cobrança duplicada referente ao serviço/produto [descrição]. Solicito a devolução do montante cobrado em excesso com a maior brevidade.,False,False,True,template_generated,
lusosupport_pt_000039,pt,pt-PT,ecommerce,placeholder,intent_classification,escalation_request,frustrated,empathetic,chat,medium,Classifica a intenção do cliente.,Mensagem do cliente: Não estou satisfeito com as respostas que tenho recebido e exijo uma solução.,"{""intent"": ""escalation_request"", ""urgency"": ""high"", ""domain"": ""ecommerce"", ""confidence"": 0.96}",False,False,True,template_generated,
lusosupport_pt_000040,pt,pt-PT,subscriptions,placeholder,response_generation,escalation_request,informal,concise,email,medium,"Responde ao cliente em português de Portugal, com tom concise.",Mensagem do cliente: Este problema já dura há demasiado tempo sem resolução — quero escalar.,Pedimos desculpa por não termos resolvido a situação até ao momento. O seu caso foi escalado e um supervisor irá contactá-lo/a directamente. Pode esperar uma resposta no prazo máximo de 2 horas úteis.,False,False,True,template_generated,
lusosupport_pt_000041,pt,pt-PT,saas,placeholder,email_reply,change_plan,calm,formal,email,easy,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Podem explicar-me as diferenças entre os planos disponíveis?,"Exmo(a). Sr(a).,

Agradecemos o seu pedido de alteração de plano.

Confirmamos que o seu plano foi actualizado para [novo plano] com efeitos imediatos. O novo valor de [€X/mês] será cobrado a partir do próximo ciclo de faturação.

Com os melhores cumprimentos,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000042,pt,pt-PT,billing_accounts,placeholder,summarization,account_access,confused,empathetic,chat,medium,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Não consigo iniciar sessão na minha conta.,O cliente informa que a conta está bloqueada ou inacessível e necessita de suporte para recuperar o acesso.,False,False,True,template_generated,
lusosupport_pt_000043,pt,pt-PT,marketplace,placeholder,urgency_classification,password_reset,confused,professional,chat,medium,Classifica a urgência do pedido.,Mensagem do cliente: Não consigo repor a palavra-passe.,"{""urgency"": ""high"", ""reason"": ""O cliente está bloqueado da conta e não consegue aceder ao serviço."", ""escalate"": true}",False,False,True,template_generated,
lusosupport_pt_000044,pt,pt-PT,travel,placeholder,rewrite_professional,booking_cancellation,confused,reassuring,phone_transcript,hard,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Quero cancelar a minha reserva e saber se tenho direito a reembolso.,"Venho comunicar o cancelamento da reserva n.º [número], com pedido de reembolso nos termos da política aplicável.",False,False,True,template_generated,
lusosupport_pt_000045,pt,pt-PT,marketplace,placeholder,intent_classification,return_request,urgent,reassuring,web_form,medium,Classifica a intenção do cliente.,Mensagem do cliente: O produto não corresponde à descrição e quero devolvê-lo.,"{""intent"": ""return_request"", ""urgency"": ""low"", ""domain"": ""marketplace"", ""confidence"": 0.84}",False,False,True,template_generated,
lusosupport_pt_000046,pt,pt-PT,ecommerce,placeholder,response_generation,billing_question,formal,professional,web_form,medium,"Responde ao cliente em português de Portugal, com tom professional.",Mensagem do cliente: Gostaria de perceber a que se referem alguns itens da minha fatura.,"Compreendemos a sua questão relativamente ao valor faturado. Para verificar os detalhes da cobrança, pode partilhar connosco o número da fatura? Assim poderemos confirmar se existe algum erro ou fornecer a explicação detalhada.",False,False,True,template_generated,
lusosupport_pt_000048,pt,pt-PT,billing_accounts,placeholder,rewrite_professional,invoice_request,formal,concise,chat,medium,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Preciso de uma fatura com os dados da minha empresa.,"Solicito, por favor, o envio da fatura relativa ao serviço prestado no mês de [mês]. Os dados de facturação constam da minha conta.",False,False,True,template_generated,
